[1/11/2013 || 1:19] TheGhost has sent TheGhost a warning:  This is a test
[1/11/2013 || 1:20] TheGhost has unfroze TheGhost
[1/11/2013 || 1:20] TheGhost has muted TheGhost
[1/11/2013 || 1:20] TheGhost has unmuted TheGhost
[1/11/2013 || 1:27] TheGhost has given TheGhost $100.
[1/11/2013 || 1:28] TheGhost has warped to TheGhost.
[1/11/2013 || 1:45] TheGhost has given TheGhost $100.
[1/11/2013 || 1:46] TheGhost has slapped TheGhost.
[1/13/2013 || 20:26] TheGhost has slapped TheGhost.
[1/13/2013 || 20:27] TheGhost has sent TheGhost a warning:  Test.
[1/14/2013 || 9:24] TheGhost has slapped TheGhost.
[1/14/2013 || 9:24] TheGhost has sent TheGhost a warning:  test.
[1/14/2013 || 9:24] TheGhost has set TheGhost's health to 1.
[1/14/2013 || 9:25] TheGhost has admin-killed TheGhost.
[1/14/2013 || 9:25] TheGhost has muted TheGhost.
[1/14/2013 || 9:25] TheGhost has unmuted TheGhost.
[1/14/2013 || 9:25] TheGhost has froze TheGhost.
[1/14/2013 || 9:25] TheGhost has unfroze TheGhost.
[1/22/2013 || 20:36] TheGhost has set TheGhost's health to 1.
[1/22/2013 || 20:38] TheGhost has set TheGhost's health to 1.
[1/22/2013 || 20:38] TheGhost has set TheGhost's health to 1.
[1/22/2013 || 20:41] TheGhost has set TheGhost's health to 1.
[1/22/2013 || 23:12] TheGhost has set TheGhost's health to 100.
